"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"132","a_psu[114]",0.201090887081,0.1888225,0.954844292698943,0.9762357612,-1.339108,1.7415135,1.00118842153158,3060.93082759866,1643.21755483203
"133","a_psu[115]",0.20423193058,0.2022435,0.854433225895783,0.8796599385,-1.2355005,1.614403,1.00203687437688,3161.93835776656,1488.7656918293
"134","a_psu[116]",-0.1531836843741,-0.123928,0.994746736846225,0.9938712882,-1.7525315,1.4727805,0.9985857147322,4993.98091176975,1644.09715269637
"135","a_psu[117]",-0.126240157522,-0.134712,0.975938000665995,0.9733209696,-1.708101,1.523555,1.00264514044275,3702.51987514016,1419.63322488454
"136","a_psu[118]",0.137733342781,0.1671255,0.920481495707165,0.9350150334,-1.4017835,1.614496,1.00103377758081,4240.41419651689,1475.11940171066
"137","a_psu[119]",-0.131010163699,-0.1344745,0.945869999822301,0.9655239762,-1.654476,1.4149965,1.0054028149221,3683.86281708999,1314.8415639105
"138","a_psu[120]",-0.2846224269,-0.2733515,0.977934143381672,0.9788710827,-1.8916495,1.3088095,1.0003863168699,3568.15539273873,1471.46578476851
"139","a_psu[121]",-0.1021344858715,-0.08656755,0.881735846252035,0.8857823352,-1.5764265,1.3027715,1.00163171635874,3599.54005761784,1069.71146300291
"140","a_psu[122]",-0.0018431090747,-0.00183658,0.988919417272294,0.9753588033,-1.6231985,1.55982,1.00198576929316,3864.82771891111,1583.74076954326
"141","a_psu[123]",0.183322136585,0.183407,0.924409798882538,0.9591910503,-1.3198575,1.682486,1.002701098135,4702.95144948863,1308.60263757009
"142","a_psu[124]",0.0683460717231,0.07845355,0.933094394765949,0.9685595997,-1.4551815,1.564294,1.00135833498051,2714.69469736168,1515.92802645148
"143","a_psu[125]",0.07997704507,0.0783419,0.907063829323372,0.89997837846,-1.47267,1.5359985,1.00339877952972,4656.23907044071,1461.84741179982
"144","a_psu[126]",-0.1166245237735,-0.136118,0.977019268621461,0.9622755996,-1.691356,1.493812,1.00173651604778,4666.04383987323,1410.56106580086
"145","a_psu[127]",-0.226270839035,-0.2230555,0.920620088104802,0.9630680493,-1.753796,1.272667,1.01027754476401,4531.92661015792,1357.91355120038
"146","a_psu[128]",-0.00114963556,-0.00342843,0.92507173504023,0.9537395301,-1.5627485,1.523727,1.00386436898792,3768.64901791289,1518.67950409079
"147","a_psu[129]",-0.1872966937405,-0.189765,0.964517293567322,0.9735744942,-1.789045,1.3696645,1.00316003134107,3849.55229197855,1397.60784779883
"148","a_psu[130]",-0.3441007374616,-0.3175985,1.00110275854428,0.9861424944,-1.9890495,1.2800725,1.00158977606354,5069.80012370014,1212.11279675236
"149","a_psu[131]",-0.14069976139,-0.173862,0.955828311352445,0.9501249513,-1.6480715,1.4315265,1.00182058487539,3344.70997785887,1715.68626939266
"150","a_psu[132]",0.0169523596075,0.008141655,0.977601897167184,0.9793114149,-1.59376,1.595872,1.00302010420847,4132.29222816135,1336.62247391388
"151","a_psu[133]",-0.27912080074,-0.254777,0.932034765424061,0.9019886358,-1.7915655,1.2571935,1.00381666671737,4383.81703889249,1640.57583136206
"152","a_psu[134]",-0.28706051068,-0.298393,0.934728279685387,0.9102963849,-1.853467,1.2450355,1.00308214456445,4601.94788594751,1343.92552409593
"153","a_psu[135]",0.2780267816605,0.2745405,0.911709951172463,0.9069761022,-1.147969,1.798442,1.00411080812008,3677.41352939629,1549.58463031754
"154","a_psu[136]",0.120978820939,0.1260685,0.995654634164121,1.0443515943,-1.494106,1.741214,1.0004835285936,3939.16862302292,1382.89529574859
"155","a_psu[137]",0.0451488477795,0.0561098,0.986406722421743,0.99707118378,-1.594921,1.647281,1.00143854794779,4283.08377208439,1241.47558694472
"156","a_psu[138]",0.482091667465,0.5033795,0.773744922954832,0.78697823883,-0.79478975,1.759901,1.00270363523976,5499.54048761622,1233.74027889703
"157","a_psu[139]",0.0794358085145,0.06900015,0.948095256161874,0.92813332311,-1.499479,1.654357,0.999904158446887,5137.58833953223,1535.31839600405
"158","a_psu[140]",-0.126093890844,-0.126473,0.93603906874269,0.9233692104,-1.7082675,1.420541,1.00185015440433,3640.33099906561,1526.02070370752
"159","a_psu[141]",-0.1655664606725,-0.1713565,0.959954460281452,0.9655995888,-1.723707,1.378174,0.999552644692935,3913.91660377741,1353.26834369363
